161,age,gender,genderpref,height,ethnicity,birthplace,Politics,religion,year,activities,college,major,brbs,snack,prelim,meme,friday,date,work,sleep,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,numdated,longestrelationship,toolongtext,commitment
item5,20,female,male,63,black,Dallas,2,4,junior,"['culturalclub', 'socialclub']",humec,Human Development,item9,item4,item7,item1,item1,item7,10:00,4to6,Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,2,7,6,willsee
item6,21,female,male,63,latino,Caracas,3,3,senior,"['socialclub', 'culturalclub']",ilr,ILR minors in Business and Art History,item6,item5,item7,item2,item5,item3,13:18,7to9,Strongly Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,0,3,3 hrs,willsee
item2,18,female,male,5’,white,"Hilton Head Island, SC",1,2,freshman,['otherclub'],arts,Sociologu,item3,item1,item2,item2,item1,item3,20:00,4to6,Strongly Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Agree,3,15,24,willsee
item6,19,male,male,68,asian,Brooklyn nyc ,2,1,sophomore,,cals,Environmental and Sustainability Sciences ,item3,item4,item3,item3,item3,item6,4pm ,7to9,Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Strongly Disagree,Strongly Agree,Sort of Agree,Strongly Agree,2,4,72,willsee
item6,21,male,female,70,white,"New York, NY",4,2,senior,"['greeklife', 'otherclub', 'clubsports']",arts,"Economics, Physics",item6,item6,item7,item2,item3,item6,4:00 PM,7to9,Strongly Agree,Sort of Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,2,40,24,willsee
item6,19,male,female,70,white,New York,3,4,sophomore,"['greeklife', 'clubsports']",cals,Information Science ,item13,item6,item7,item3,item5,item7,20:00,4to6,Agree,Disagree,Sort of Agree,Disagree,Agree,Strongly Disagree,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Disagree,Disagree,Agree,Agree,Two,24,12,onenightstand
item6,19,male,female,71,white,"Stowe, Vermont",3,1,sophomore,"['greeklife', 'proffrat', 'socialclub']",cals,Animal Science,item12,item1,item1,item6,item5,item7,18:00,7to9,Sort of Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,3,11,12,willsee
item2,19,female,male,66,white,"New Brunswick, New Jersey",1,1,sophomore,"['greeklife', 'profclub', 'socialclub']",engineering,Biomedical Engineering,item11,item1,item2,item6,item5,item4,14:04,7to9,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,Agree,1,7,12,willsee
item2,19,female,male,67,asian,"Morristown, NJ",2,3,freshman,"['projectteam', 'socialclub', 'culturalclub', 'profclub']",engineering,Computer Science,item13,item1,item2,item6,item3,item8,16:00,4to6,Sort of Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,1,2,24,meetfriends
item2,22,male,female,72,asian,Singapore,2,1,freshman,"['profclub', 'culturalclub']",arts,Economics and Information Science,item5,item1,item7,item2,item5,item3,13:30,7to9,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,Strongly Agree,,,,willsee
item2,21,male,female,72,latino,"Encinitas, CA",2,2,senior,['projectteam'],arts,Computer Science,item13,item4,item3,item3,item2,item4,Night,7to9,Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Disagree,2,23,5,willsee
item2,18,female,male,60,asian,"Columbus, Ohio",2,3,freshman,['otherclub'],arts,Biology And Statistical Science,item11,item1,item5,item3,item4,item3,14:00,4to6,Strongly Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Sort of Agree,Strongly Agree,2,1,6.5,willsee
item1,18,female,female,66,black,houston,2,4,freshman,"['projectteam', 'socialclub', 'culturalclub']",humec,Human development,item11,item1,item4,item2,item1,item8,1-9ish pm,7to9,Strongly Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Sort of Agree,Agree,Agree,2,1 year,1 day,willsee
item6,19,female,female,60,latino,,2,2,freshman,['projectteam'],arts,Government,item11,item2,item2,item2,item5,item4,21:30,7to9,Strongly Agree,Agree,Strongly Disagree,Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,4,6,4,meetfriends
item6,22,female,male,70,white,Boston,2,1,junior,['athlete'],humec,Policy Analysis and Management,item6,item4,item1,item6,item1,item3,8:00,7to9,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,3,0,36,willsee
item1,19,female,male,61,other,East Brunswick,3,2,sophomore,"['greeklife', 'proffrat', 'clubsports', 'profclub', 'culturalclub']",cals,Applied Economics and Management,item6,item4,item3,item2,item2,item7,20:00,4to6,Agree,Disagree,Sort of Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,1,12,5,willsee
item2,18,female,male,64,asian,"Smithtown, NY",2,1,freshman,"['socialclub', 'culturalclub', 'profclub']",engineering,Computer Science,item6,item1,item2,item4,item1,item8,14:00,10,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Disagree,Agree,Agree,0,0,6,willsee
item2,18,male,either,5',black,"Wheatley Heights, NY",1,2,freshman,"['greeklife', 'otherclub', 'culturalclub']",arts,Biological Sciences,item9,item1,item2,item2,item1,item4,15:00,7to9,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Sort of Agree,0,0,24,willsee
item2,18,female,male,63,white,"Glen Cove, NY",2,2,freshman,['athlete'],humec,"Human Biology, Health and Society ",item3,item6,item3,item5,item5,item3,20:30,4to6,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Sort of Agree,Sort of Agree,Agree,Agree,3,8,6,meetfriends
item2,21,male,female,67,asian,Taipei,2,1,junior,"['culturalclub', 'ta']",arts,Physics,item8,item4,item7,item2,item4,item8,16:30,7to9,Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,0,0,24,willsee
item1,21,female,male,66,asian,"Changchun, China",2,1,junior,"['proffrat', 'profclub', 'clubsports', 'culturalclub', 'otherclub']",arts,"Information Science, Sociology ",item5,item4,item7,item3,item3,item8,0:00,7to9,Sort of Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,9,13,4,willsee
item1,20,female,male,60,white,"Livingston, NJ",2,1,sophomore,"['clubsports', 'otherclub']",engineering,Computer Science,item6,item6,item3,item3,item1,item8,13:00,7to9,Strongly Agree,Agree,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Sort of Agree,1,22,8,meetfriends
