year,age
1929,22
1930,37
1930,28
1931,63
1932,32
1934,26
1935,31
1936,27
1937,27
1938,28
1939,30
1940,26
1941,29
1942,24
1943,38
1944,25
1945,29
1946,40
1947,30
1948,35
1949,32
1950,33
1951,29
1952,38
1953,54
1954,24
1955,25
1956,48
1957,41
1958,28
1959,41
1960,39
1961,29
1962,27
1963,31
1964,38
1965,29
1966,26
1967,35
1968,60
1969,61
1969,26
1970,35
1971,34
1972,34
1973,27
1974,37
1975,42
1976,41
1977,36
1978,32
1979,41
1980,33
1981,31
1982,74
1983,33
1984,49
1985,38
1986,61
1987,21
1988,41
1989,26
1990,80
1991,42
1992,29
1993,33
1994,36
1995,45
1996,49
1997,39
1998,34
1999,26
2000,25
2001,33
2002,35
2003,35
2004,28
2005,30
2006,29
2007,61
2008,32
2009,33
2010,45
2011,29
2012,62
2013,22
2014,44
2015,54
2016,26
2017,28
2018,60
2019,45
2020,50
