_id,data.gender,data.genderpref,data.age,data.agepref,data.height,data.ethnicity,data.politics,data.year,data.activities,data.college,data.major,data.friday,data.date,data.work,data.sleephabits,data.plans,data.meal,data.perfectday,data.desscribeyou,data.describepartner,data.todolist,data.startover,data.timeormoney,data.quality,data.p1,data.p2,data.p3,data.p4,data.p5,data.p6,data.p7,data.p8,data.p9,data.p10,data.p11,data.p12,data.p13,data.p14,data.p15,data.p16,data.p17,data.p18,data.introvert,data.numdated,data.longestrelationship,data.commitment,personality
ObjectId(5e3600f47a202e4cbc571031),female,"[""female""]",20,"{""youngest"":""20"",""oldest"":""24""}",62,eastasian,2,junior,"[""projectteam"",""otherclub"",""ta""]",engineering,Computer Science,study,commons,nocturnal,"{""sleeptime"":""4am"",""waketime"":""12pm""}",flow,entrepreneur,city,"independent, honest, passionate","ambitious, funny, honest",yes,yes,time,thoughtfulness,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Strongly Disagree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,Agree,Strongly Disagree,Agree,3,0,0,meetfriends,ISFP
ObjectId(5e3705916867586b5b7bc7b3),male,"[""female""]",20,"{""youngest"":""19"",""oldest"":""21""}",72,southasian,2,sophomore,"[""profclub"",""otherclub""]",engineering,CS,pjsnetflix,starbucks,nocturnal,"{""sleeptime"":""2am"",""waketime"":""9am""}",new,athlete,friends,"committed, ambitious, caring","nice, smart, funny",yes,no,money,reliability,Agree,Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Sort of Agree,5,1,4,willsee,ISTP
ObjectId(5e3706316867586b5b7bc7b4),male,"[""male""]",99,"{""youngest"":""98"",""oldest"":""100""}",99,white,5,faculty,"[""greeklife"",""athlete"",""proffrat"",""profclub"",""projectteam"",""socialclub"",""clubsports"",""culturalclub"",""otherclub"",""ra"",""ta""]",humec,Selfmade,pjsnetflix,coffee,morning,"{""sleeptime"":""1"",""waketime"":""1""}",shift,political,outdoor,"ME,ME,ME","you,you,uoi",yes,yes,time,reliability,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,1,100,100,plantomeet,INTP
ObjectId(5e3707236867586b5b7bc7b6),male,"[""female""]",20,"{""youngest"":""18"",""oldest"":""126""}",68,other,3,junior,"[""profclub"",""projectteam"",""culturalclub"",""otherclub""]",arts,"Mathematics, Computer Science",study,bubbletea,nocturnal,"{""sleeptime"":""1am"",""waketime"":""6am""}",shift,entrepreneur,newfood,"Weird, Fun, Nonsense","Funny, Smart, Cute",yes,yes,money,thoughtfulness,Sort of Agree,Agree,Disagree,Disagree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,3,1,2,plantomeet,ISFP
ObjectId(5e3707be6867586b5b7bc7b7),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""25""}",62,eastasian,2,senior,"[""profclub"",""socialclub""]",cals,AEM,pjsnetflix,ctowndinner,evening,"{""sleeptime"":""1 am"",""waketime"":""9 am""}",flow,entrepreneur,friends,"insightful, motivated, weird","caring, intelligent, motivated",yes,no,time,reliability,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Sort of Agree,Strongly Agree,Sort of Agree,Disagree,Strongly Agree,Strongly Agree,6,0,0,willsee,ESFJ
ObjectId(5e3707da6867586b5b7bc7b8),male,"[""female""]",19,"{""youngest"":""18"",""oldest"":""21""}",73,white,3,sophomore,"[""profclub"",""otherclub""]",engineering,Operations Research,pjsnetflix,ctb,evening,"{""sleeptime"":""12"",""waketime"":""10""}",flow,athlete,friends,"Chill, optimistic, caring.","Caring, genuine, trustworthy.",no,no,time,thoughtfulness,Agree,Sort of Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,8,1,30,willsee,ESTJ
ObjectId(5e3707f06867586b5b7bc7b9),female,"[""male""]",21,"{""youngest"":""18"",""oldest"":""25""}",67,southasian,2,senior,"[""profclub"",""ta""]",engineering,Operations Research and Engineering,pjsnetflix,ctb,nocturnal,"{""sleeptime"":""1am"",""waketime"":""8:30am""}",flow,entrepreneur,city,"introspective, ambitious, empathetic","introspective, ambitious, empathetic",no,no,time,thoughtfulness,Strongly Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Strongly Agree,Strongly Agree,8,3,3.5,meetfriends,ESTP
ObjectId(5e3708066867586b5b7bc7ba),other,"[""male"",""female"",""transmale"",""transfemale"",""other""]",2,"{""youngest"":""0"",""oldest"":""12""}",9999,other,5,faculty,"[""ta"",""ra"",""otherclub"",""culturalclub"",""socialclub"",""clubsports"",""projectteam"",""profclub"",""proffrat"",""greeklife"",""athlete""]",hotel,Cock Buster,bars,dininghall,nocturnal,"{""sleeptime"":""Lol"",""waketime"":""Lol""}",new,athlete,outdoor,Piece of shit,Kam Lee Sam,yes,yes,money,thoughtfulness,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,0,0,plantomeet,ENTP
ObjectId(5e370b17105b996bddd61630),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""23""}",66,eastasian,1,sophomore,"[""socialclub"",""otherclub""]",engineering,Mechanical engineering,netflixchill,ctb,afternoon,"{""sleeptime"":""1 AM"",""waketime"":""9 AM""}",shift,artist,friends,"witty, chill, independent","outgoing, funny, smart",yes,no,time,thoughtfulness,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Disagree,5,1,7,willsee,ISTJ
ObjectId(5e370b55105b996bddd61631),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""23""}",65,eastasian,2,senior,"[""socialclub"",""culturalclub""]",arts,Computer Science,pjsnetflix,ctowndinner,evening,"{""sleeptime"":""2AM"",""waketime"":""10AM""}",flow,artist,newfood,"loyal, goofy, considerate","caring, understanding, funny",yes,yes,time,reliability,Agree,Sort of Agree,Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Strongly Agree,3,0,N/A,plantomeet,ISTP
